wn,acac,ozone,h2o
705.5777943,1.25507E-05,1.07838E-06,-2.86E-08
705.6983235,1.26674E-05,1.17694E-06,-2.89E-08
705.8188526,1.25287E-05,1.22578E-06,-2.86E-08
705.9393818,1.2174E-05,1.17893E-06,-2.78E-08
706.059911,1.16744E-05,1.0269E-06,-2.66E-08
706.1804402,1.1129E-05,7.97315E-07,-2.54E-08
706.3009693,1.06311E-05,5.51845E-07,-2.42E-08
706.4214985,1.02527E-05,3.53009E-07,-2.34E-08
706.5420277,1.00427E-05,2.50725E-07,-2.29E-08
706.6625569,1.00133E-05,2.60224E-07,-2.28E-08
706.783086,1.01497E-05,3.61846E-07,-2.31E-08
706.9036152,1.04069E-05,5.10751E-07,-2.37E-08
707.0241444,1.07202E-05,6.59222E-07,-2.44E-08
707.1446736,1.1018E-05,7.81406E-07,-2.51E-08
707.2652027,1.1227E-05,8.81721E-07,-2.56E-08
707.3857319,1.12993E-05,9.92203E-07,-2.58E-08
707.5062611,1.12112E-05,1.15793E-06,-2.56E-08
707.6267903,1.09773E-05,1.41605E-06,-2.50E-08
707.7473194,1.06448E-05,1.7783E-06,-2.43E-08
707.8678486,1.0275E-05,2.22592E-06,-2.34E-08
707.9883778,9.9373E-06,2.71031E-06,-2.27E-08
708.108907,9.68331E-06,3.17665E-06,-2.21E-08
708.2294361,9.54127E-06,3.57295E-06,-2.18E-08
708.3499653,9.50965E-06,3.86446E-06,-2.17E-08
708.4704945,9.56484E-06,4.03876E-06,-2.18E-08
708.5910237,9.67028E-06,4.09782E-06,-2.20E-08
708.7115529,9.78658E-06,4.05336E-06,-2.23E-08
708.832082,9.88457E-06,3.9202E-06,-2.25E-08
708.9526112,9.95095E-06,3.7145E-06,-2.27E-08
709.0731404,9.98909E-06,3.4564E-06,-2.28E-08
709.1936696,1.00114E-05,3.17488E-06,-2.28E-08
709.3141987,1.00424E-05,2.90754E-06,-2.29E-08
709.4347279,1.01045E-05,2.6924E-06,-2.30E-08
709.5552571,1.02127E-05,2.55598E-06,-2.33E-08
709.6757863,1.03669E-05,2.50911E-06,-2.36E-08
709.7963154,1.05458E-05,2.53785E-06,-2.40E-08
709.9168446,1.07099E-05,2.61302E-06,-2.44E-08
710.0373738,1.08104E-05,2.69571E-06,-2.46E-08
710.157903,1.08011E-05,2.76006E-06,-2.46E-08
710.2784321,1.06563E-05,2.79411E-06,-2.43E-08
